target,model,n_train,n_test,oos_r2,mae,rmse,aic_train,bic_train
future_abs_return_ticks,A_sigma_hat,50820,21780,0.1820494284973807,0.23603603471101994,0.32215147231611063,19984.116402997868,20001.788493511616
future_abs_return_ticks,B_sigma_hat_plus_regime,50820,21780,0.18220824447596184,0.23613884140713828,0.3221201958020794,19972.173879100184,20007.51806012768
