condition,n_below,n_total,mean_diff,t_stat,p_paired,cohens_dz,tost_p,tost_reject_h0_at_alpha_0.05
full,15,20,-0.07278305162361459,-2.776138449619459,0.012032476604469941,-0.6207634288299985,0.1978444935803596,False
noisy,15,20,-0.04374006272411926,-2.5385334999869476,0.020040276816256707,-0.5676333469131276,0.6398067477593627,False
lagged,18,20,-0.10097582916977547,-4.079380419972316,0.0006391427179545033,-0.9121771925139739,0.02671344398322966,True
coarsened,15,20,-0.0918799964357641,-2.9213231943714497,0.008758198297686252,-0.6532277246861392,0.09937803239701701,False
