condition,n_above,n_total,mean_diff,t_stat,p_paired,cohens_dz,tost_p,tost_reject_h0_at_alpha_0.05,std_combined,std_regime_only,std_diff,iqr_combined,iqr_regime_only,iqr_diff
full,9,20,-0.00934384427924779,-0.26932055096411445,0.7905860568192565,-0.06022190596934564,0.12787232432494933,False,0.1297450469794006,0.14279321622628047,0.1551569006136077,0.1136950239723794,0.12475579475214582,0.14024511821536284
noisy,7,20,0.013415509126282634,0.41257649348235254,0.6845351402456124,0.09225490853450391,0.1372779309160583,False,0.1341605925557579,0.14279321622628047,0.14541783564031338,0.09060848169196423,0.12475579475214582,0.12562840673350598
lagged,11,20,-0.017915910753417134,-0.631861948964271,0.5350066485553748,-0.14128862702796124,0.13595236886103323,False,0.11446226586044252,0.14279321622628047,0.1268036297774452,0.11973004716755464,0.12475579475214582,0.1124512575941084
coarsened,10,20,-0.008318954200309134,-0.23891543206091095,0.8137292491912443,-0.053423114696192944,0.12300392759723011,False,0.1766807269901139,0.14279321622628047,0.1557182550590215,0.20735700531823953,0.12475579475214582,0.12663639005648572
