seed,condition,variant,sharpe_like,final_equity,fill_rate,inv_p99,train_seconds,eval_seconds
42,full,sigma_only,0.4915743508675355,1.5759217796642133,0.1525,1.0,991.5831654071808,0.7291224002838135
42,full,regime_only,0.7448725938477916,2.705570776924816,0.224375,2.0,978.845306634903,0.7190043926239014
42,full,combined,0.6511164490408017,2.5406109979141007,0.17875,2.0,990.2889657020569,0.7298402786254883
42,full,oracle_pure,0.338013679459542,1.0067331248669262,0.08375,1.0,978.0698065757751,0.7244722843170166
42,full,oracle_full,0.6473416714277246,2.1574459746608454,0.16125,1.0,1001.49227643013,0.7351546287536621
42,noisy,sigma_only,0.725232668506487,2.8791885582938193,0.18,2.0,980.812830209732,0.7237310409545898
42,noisy,regime_only,0.7448725938477916,2.705570776924816,0.224375,2.0,979.0422084331512,0.7119405269622803
42,noisy,combined,0.6909008969036843,2.508475098274758,0.210625,2.0,990.8696005344391,0.7530064582824707
42,noisy,oracle_pure,0.338013679459542,1.0067331248669262,0.08375,1.0,978.1753361225128,0.7281098365783691
42,noisy,oracle_full,0.6030702753272354,1.950527702773229,0.1275,1.0,991.079966545105,0.7395215034484863
42,lagged,sigma_only,0.7023160365601218,2.7547264822084543,0.16125,2.0,986.4974420070648,0.7141849994659424
42,lagged,regime_only,0.7448725938477916,2.705570776924816,0.224375,2.0,1096.9637417793274,0.884345531463623
42,lagged,combined,0.766222687052901,2.8716535011398747,0.215,2.0,1205.3837213516235,0.7450463771820068
42,lagged,oracle_pure,0.338013679459542,1.0067331248669262,0.08375,1.0,985.5330722332001,0.7390575408935547
42,lagged,oracle_full,0.8277552032705524,3.272216520233698,0.235625,2.0,996.4261882305145,0.747938871383667
42,coarsened,sigma_only,0.7001267138999112,2.716397182292596,0.1625,1.0,984.6029212474823,0.7402970790863037
42,coarsened,regime_only,0.7448725938477916,2.705570776924816,0.224375,2.0,981.767648935318,0.7312757968902588
42,coarsened,combined,0.6808939155149499,2.445076068914915,0.259375,1.0,1011.7919120788574,0.7605142593383789
42,coarsened,oracle_pure,0.338013679459542,1.0067331248669262,0.08375,1.0,991.0301325321198,0.7299058437347412
42,coarsened,oracle_full,0.6287806279726021,2.277247910338474,0.21625,2.0,994.1721272468567,0.7410259246826172
42,none,regime_only,0.7448725938477916,2.705570776924816,0.224375,2.0,981.7063443660736,0.7282314300537109
42,none,combined,0.7448725938477916,2.705570776924816,0.224375,2.0,981.0814337730408,0.7331264019012451
42,none,oracle_pure,0.338013679459542,1.0067331248669262,0.08375,1.0,982.779378414154,0.7332103252410889
42,none,oracle_full,0.338013679459542,1.0067331248669262,0.08375,1.0,983.2267045974731,0.7429344654083252
43,full,sigma_only,0.7320113812841397,2.6146200043593097,0.145,1.0,985.7221972942352,0.7252120971679688
43,full,regime_only,0.4152013740971152,1.5736442784281621,0.10875,3.0,981.9213478565216,0.724358320236206
43,full,combined,0.8079462355544345,2.9348713460038596,0.2325,2.0,995.3638873100281,0.7478640079498291
43,full,oracle_pure,0.798444953602018,2.4778619462032054,0.226875,2.0,991.9491951465607,0.7357113361358643
43,full,oracle_full,0.8730312484821814,3.294709835731652,0.249375,2.0,995.3090531826019,0.7652478218078613
43,noisy,sigma_only,0.886369753453745,3.5135676930568422,0.263125,2.0,985.0159177780151,0.7293875217437744
43,noisy,regime_only,0.4152013740971152,1.5736442784281621,0.10875,3.0,983.7664666175842,0.7399284839630127
43,noisy,combined,0.8656609786468054,2.5481958606664534,0.219375,1.0,995.7665967941284,0.7432639598846436
43,noisy,oracle_pure,0.798444953602018,2.4778619462032054,0.226875,2.0,983.4404084682465,0.718195915222168
43,noisy,oracle_full,0.8629751542206995,2.7792387428637255,0.22375,2.0,1048.85413813591,0.8799316883087158
43,lagged,sigma_only,0.8564269297574303,2.7677601798530986,0.226875,1.0,1269.688972234726,0.854748010635376
43,lagged,regime_only,0.4152013740971152,1.5736442784281621,0.10875,3.0,1073.5337190628052,0.7324376106262207
43,lagged,combined,0.5678761476069305,1.9573975390356395,0.135,2.0,1000.9685945510864,0.7508256435394287
43,lagged,oracle_pure,0.798444953602018,2.4778619462032054,0.226875,2.0,988.5705778598785,0.7380180358886719
43,lagged,oracle_full,0.7289215254273593,2.295599808076261,0.18375,1.0,1002.5102417469025,0.754115104675293
43,coarsened,sigma_only,0.8485449105195514,2.5844036007271853,0.225,1.0,990.7604420185089,0.7522227764129639
43,coarsened,regime_only,0.4152013740971152,1.5736442784281621,0.10875,3.0,987.3226661682129,0.7189321517944336
43,coarsened,combined,0.6571549511395895,2.0823700144430433,0.141875,2.0,1000.4628190994263,0.7301855087280273
43,coarsened,oracle_pure,0.798444953602018,2.4778619462032054,0.226875,2.0,987.589301109314,0.7303793430328369
43,coarsened,oracle_full,0.8522146016364489,2.680721889518466,0.23125,1.0,1001.3141655921936,0.7555899620056152
43,none,regime_only,0.4152013740971152,1.5736442784281621,0.10875,3.0,1021.677225112915,0.8510384559631348
43,none,combined,0.4152013740971152,1.5736442784281621,0.10875,3.0,1229.7994017601013,0.9278855323791504
43,none,oracle_pure,0.798444953602018,2.4778619462032054,0.226875,2.0,1143.2243676185608,0.7345085144042969
43,none,oracle_full,0.798444953602018,2.4778619462032054,0.226875,2.0,1009.6544172763824,0.7422723770141602
44,full,sigma_only,0.7645637326480347,3.0271483670184978,0.1775,1.0,1027.991260766983,0.7465224266052246
44,full,regime_only,0.7116879426198913,2.579025920652498,0.231875,3.0,991.378493309021,0.7448718547821045
44,full,combined,0.7437952828687522,3.1792100925970175,0.2825,2.0,995.9723465442657,0.745654821395874
44,full,oracle_pure,0.5763496229042918,2.1664254192113646,0.21625,2.0,984.8781952857971,0.7349281311035156
44,full,oracle_full,0.6057869633419305,2.0345267059653906,0.179375,1.0,995.1978857517242,0.7438547611236572
44,noisy,sigma_only,0.7937080831820085,3.1895420332380127,0.2625,2.0,985.1426594257355,0.7372362613677979
44,noisy,regime_only,0.7116879426198913,2.579025920652498,0.231875,3.0,984.2420210838318,0.7274363040924072
44,noisy,combined,0.5241603313985668,1.6683037016158835,0.15875,1.0,995.7211456298828,0.7426097393035889
44,noisy,oracle_pure,0.5763496229042918,2.1664254192113646,0.21625,2.0,983.2133312225342,0.7284152507781982
44,noisy,oracle_full,0.6163727488823476,2.3390397435948955,0.20625,2.0,995.5406119823456,0.7406158447265625
44,lagged,sigma_only,0.7034738070136066,2.8949639781703667,0.255625,2.0,987.0848903656006,0.7272515296936035
44,lagged,regime_only,0.7116879426198913,2.579025920652498,0.231875,3.0,983.3686764240265,0.7206153869628906
44,lagged,combined,0.7213687364660172,2.6956471299747022,0.238125,2.0,995.5940272808075,0.743220329284668
44,lagged,oracle_pure,0.5763496229042918,2.1664254192113646,0.21625,2.0,983.2487192153931,0.7361946105957031
44,lagged,oracle_full,0.7133513850145791,2.660892032257607,0.17125,2.0,997.2659139633179,0.7520475387573242
44,coarsened,sigma_only,0.9171408696205368,3.488354299204758,0.32625,2.0,986.7380640506744,0.7079916000366211
